trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
56760010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000330,shp-100-02,1
5910020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10010100,shp-100-02,1
57012010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
59994020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
6217020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000660,shp-100-02,1
60029020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000770,shp-100-02,1
62255070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
58133020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000990,shp-100-02,1
64152010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1007910,shp-100-02,1
58146070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000330,shp-100-02,1
64668010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000220,shp-100-02,1
57256070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1008870,shp-100-02,1
64700020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10010100,shp-100-02,1
51003070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000220,shp-100-02,1
64894010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
58064020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000660,shp-100-02,1
65764010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000660,shp-100-02,1
58007070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
66065020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10015152,shp-100-02,1
46502020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
5155070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000220,shp-100-02,1
59113070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
51903020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
59236020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000220,shp-100-02,1
5230070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1008870,shp-100-02,1
59423010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
52359010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1007910,shp-100-02,1
59778070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000990,shp-100-02,1
52933020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000330,shp-100-02,1
60848020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
